the_geom,cartodb_id,the_geom_webmercator,id,bbl,bin,address,zipcode,bldgtype,idflags,ess,year,gfa,gfaflags,numbldgs,numfloors,energy,eui,euiflags,wui,wuiflags,ghg,ghgflags,bep_score,bldg_class,group_threshold,ghgi_25_target,ghgi_30_target,value,primary_type_size_rate,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6,gfa_cat,age_cat,value_cat,eui_base,eui_diff,wui_base,wui_diff,ghg_base,ghg_diff,fuel_mix,bee_rating
,380,,15337984,1007620067,1090150,350 West 39th St,10018,Hotel,0,69,2018,179130,0,1,25,27625604.9,154.2,0,46.59,0,4.88,0,,,,,,28313304,1,Hotel,,0,7720425.5,,5722298.6,,,,,,,,4,4,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '5722298.6', 'Electricity': '7720425.5', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,1402,,5777220,1006440005,1089239,93 Gansevoort Street,10014,Museum,0,,2015,220000,0,1,9,,,1,14.3,0,,1,,,,,,42229800,1,Museum,,0,16740647.4,,,,,,,,,,4,4,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': nan, 'Electricity': '16740647.4', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,617,,6784332,1012890005,1035725,1 East 53 Street,10022,Office,0,66,1927,26842,0,1,16,3226603.5,120.2,0,3.84,0,4.85,0,,,,,,3694500,1,Office,,0,391825,,102328.1,1442049.3,0.07451,,,,,,0,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '102328.1', 'Electricity': '391825', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': 1442049.3}",
,20540,,6799850,1017230033,1053504,1-3 125th Street,10027,Office,0,20,1901,28762,0,1,2,6484934.1,225.5,0,38.85,0,7.45,0,,,,,,3676500,1,Office,,0,1692013.9,,1682445.1,,2.29991,,,,,,1,0,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '1682445.1', 'Electricity': '1692013.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,25202,,8025281,4004410016,4005198,43-01 21st Street,11101,Office,1,90,1926,131474,0,1,3,12437072.1,94.6,0,6.45,0,3.13,0,,,,,,5758650,1,Office,,0,2729119.9,,3959536.6,,2.19055,,,,,,3,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3959536.6', 'Electricity': '2729119.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,21765,,7034679,3005150050,3008286,62 Imlay Street,11231,Self-Storage Facility,0,,1913,219768,0,1,6,,,1,2.3,0,,1,,,,,,12708900,1,Self-Storage Facility,,0,,,,,,,,,,,4,0,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': nan, 'Electricity': nan, 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,17871,,17401437,1012420039,1033683,2528 Broadway,10025,Hotel,0,69,1913,49055,0,1,9,6095323.3,124.3,0,60.68,0,4.58,0,,,,,,8950950,1,Hotel,,0,981346.6,,2870984.7,,,,,,,,1,0,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '2870984.7', 'Electricity': '981346.6', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,298,,7386333,1007590061,1090378,338 W 36th St,10018,Hotel,0,73,1980,197027,0,1,26,29381581.3,149.1,0,77.71,0,4.55,0,,,,,,42600425,1,Hotel,,0,8695169.5,,4795339.6,,,,,,,,4,2,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '4795339.6', 'Electricity': '8695169.5', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,350,,6434649,3059380040,3148662,7502 Ridge Boulevard,11209,Multifamily Housing,0,80,1936,50400,0,1,6,4846808,96.2,0,46.79,0,3.73,0,,D7,10,6.75288296823,4.07165564052,1951650,1,Multifamily Housing,,0,700714.6,79,2563399.9,,,,,,,,1,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '2563399.9', 'Electricity': '700714.6', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,418,,8141565,4083520051,4173029,58-20 LITTLE NECK PARKWAY,11362,K-12 School,0,100,1963,49638,0,1,2,584388.8,11.8,1,11.56,0,0.46,1,,,,,,3404700,1,K-12 School,"{'K-12 School': 49638.0, 'Parking': 0.0}",0,86373.2,,311256.8,,,,,,,,1,3,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '311256.8', 'Electricity': '86373.2', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
